id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40669,Skyy’s Lounge / Cozyaezz so,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73724,-74.0531,Private room,150,5,22,2024-11-01,0.12,1,180,3,Exempt
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71438,-74.0581,Entire home/apt,183,4,211,2025-06-09,1.26,2,328,25,STR-006450-2024
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71162,-74.06179,Entire home/apt,158,4,153,2025-06-10,0.92,2,348,15,STR-006336-2024
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.71135,-74.06374,Entire home/apt,126,2,483,2025-06-09,2.92,10,278,45,STR-001785-2025
270245,Private room with own bathroom close to NYC,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.7134,-74.06489,Private room,60,3,343,2025-05-30,2.08,10,293,25,STR-001785-2025
271255,Large Room with private bathroom min to Manhattan,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.71161,-74.06327,Private room,86,2,402,2025-06-04,2.50,10,232,26,STR-001786-2025
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72315,-74.04179,Private room,121,3,433,2025-06-15,2.79,1,147,31,STR-006162-2024
810860,Spacious Studio minutes away from NYC,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72617,-74.06481,Entire home/apt,70,28,8,2024-12-19,0.11,1,204,2,
818075,Lovely Apartment - Easy access to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.74086,-74.04921,Entire home/apt,117,3,219,2025-06-06,1.45,1,22,34,STR-005916-2024
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,125,29,23,2025-04-20,0.21,3,290,3,
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72398,-74.05023,Entire home/apt,81,29,26,2025-05-19,0.24,3,133,3,
971427,Nice Apt -10 minutes to Manhattan,4318265,Robert,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,148,5,370,2025-06-17,2.48,2,95,34,str-006261-2024
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.7136,-74.03538,Entire home/apt,135,60,145,2019-09-13,0.99,1,229,0,
1280528,Fantastic room with private bathroom close NYC!,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.7129,-74.06473,Private room,82,2,326,2025-05-25,2.23,10,306,21,STR-001786-2025
1282198,(3) 24/7 Train Station 10 mins Ride to Manhattan,189095873,M,,Ward C (councilmember Richard Boggiano),40.72953,-74.06909,Private room,76,5,76,2025-05-17,0.52,5,325,3,Exempt
1897139,Luxury Furnished 1 Bedroom Apartment Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,20,2018-08-26,0.15,14,365,0,
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,Colby,,Ward E (councilmember James Solomon),40.72508,-74.0512,Entire home/apt,148,28,30,2023-11-08,0.29,1,359,0,
2168009,2B/2Ba Maximalist Apt Close 2NYC,11061879,Anatalie,,Ward D (councilmember Michael Yun),40.74822,-74.04853,Entire home/apt,194,28,26,2025-05-19,1.25,1,342,13,
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.72146,-74.07424,Entire home/apt,194,3,260,2025-06-17,1.90,1,255,30,STR-2024-03201
2243687,Modern 1 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,5,2016-06-24,0.04,14,365,0,
2243736,Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,7,2024-03-13,0.06,14,338,0,
2662979,Room with private bathroom min to Manhattan,1410590,Magdalena,,Ward E (councilmember James Solomon),40.72469,-74.0497,Private room,60,28,373,2025-02-17,2.74,10,311,2,
2867497,205 private room - 10 mins Ride to Manhattan.,189095873,M,,Ward C (councilmember Richard Boggiano),40.73351,-74.06617,Private room,64,5,48,2020-01-02,0.36,5,357,0,Exempt
2879634,Cute private apt Jersey City (NYC area no smoking),14717157,Dana,,Ward F (councilmember Jermaine D. Robinson),40.71159,-74.06034,Entire home/apt,88,3,339,2025-05-15,2.75,1,24,28,STR-005685-2024
3193538,Lrg Garden Studio w/Yard Min 30 Night Corp Rental,16186604,Edward,,Ward E (councilmember James Solomon),40.71549,-74.03976,Entire home/apt,130,30,220,2025-02-28,1.86,1,222,4,
3487433,Waterfront Loft - 7 mins to NYC!,16038,,,Ward E (councilmember James Solomon),40.71653,-74.039,Entire home/apt,338,28,9,2018-08-13,0.07,1,358,0,
3674016,Downtown loft - steps to NYC! Downtown Jersey City,318287,Cindy,,Ward E (councilmember James Solomon),40.72728,-74.0408,Entire home/apt,,29,164,2024-01-01,1.24,3,0,0,
3747069,3 bedroom Le Beinvenue 5min walk to path train,2588186,Massimo,,Ward C (councilmember Richard Boggiano),40.73387,-74.06748,Entire home/apt,140,60,49,2022-10-31,0.38,1,177,0,
4007369,Charming Home (3bd/2ba)(6-8ppl),19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71624,-74.07984,Entire home/apt,92,28,298,2025-06-09,2.31,1,72,22,
4384868,Classic 1 Bedroom Apartment in Jersey City Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,9,2025-01-06,0.08,14,365,3,
4531787,Studio at heart of Downtown JC.,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72277,-74.04957,Entire home/apt,100,29,31,2025-05-15,0.26,3,316,4,
4582869,Historic Downtown Jersey City (Legal),15356305,Jennifer,,Ward E (councilmember James Solomon),40.72459,-74.04352,Entire home/apt,224,2,301,2025-06-07,2.34,1,271,31,STR-004325-2024
5192752,Clean Spacious 1 Bedroom Apartment in Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,11,2018-12-05,0.10,14,355,0,
5193707,Private Jersey City 1 Bedroom Apartment near PATH,9419684,Churchill,,Ward E (councilmember James Solomon),40.72455,-74.03591,Entire home/apt,,28,5,2019-05-26,0.04,14,365,0,
5697589,Big modern room 5 min walk to Path/WIFI/TV/Desk,6958867,Gennadiy,,Ward E (councilmember James Solomon),40.72216,-74.05052,Private room,68,28,99,2025-03-26,0.80,36,53,2,Exempt
5706875,Big room in Luxury House min to PATH NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72251,-74.04838,Private room,66,28,75,2025-05-05,0.60,31,54,7,Exempt
5758802,Huge Modern room Downtown Jersey City/WIFI,6958867,Gennadiy,,Ward E (councilmember James Solomon),40.72368,-74.04911,Private room,73,28,122,2024-12-01,1.00,36,60,1,
5759911,Modern Clean room 5 min to PATH min to NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04992,Private room,68,29,92,2025-05-31,0.74,31,33,2,Exempt
5772382,"385 ""2"" Private room 5 min walk to Path/WIFI",6958867,Gennadiy,,Ward E (councilmember James Solomon),40.7223,-74.05005,Private room,58,28,122,2025-06-01,0.98,36,47,3,
5851973,Furnished Room+ BATH  close to NYC train,30374905,Sam,,Ward C (councilmember Richard Boggiano),40.73603,-74.05395,Private room,88,28,54,2024-12-27,0.50,2,62,15,
5989369,Entire high level basement apartment  close to NYC,30560014,Mohamed,,Ward A (councilmember Denise Ridley),40.69823,-74.10447,Entire home/apt,99,1,33,2025-05-05,0.27,2,362,9,Exempt
